type,rarity,vendor_value,id,icon,level,item_type,item_weight_class,quantity_rel,quantity_buys,unit_price_gold_buys,estimation_window_buys,quantity_sells,unit_price_gold_sells,estimation_window_sells,name,unit_price_gold_diff,profit,more_sells,.pred
Consumable,Fine,11,41574,https://render.guildwars2.com/file/B609EB03A009033D5655159232E2B9436EB8B630/849269.png,0,Unlock,NA,1.2308043749679991e-6,5,3.0004,100000000,2,3.9995,50000000,Recipe: Bowl of Refugee's Beet Soup,0.9990999999999999,0.3991749999999996,-3,3.1849237690043952
Consumable,Masterwork,15,12560,https://render.guildwars2.com/file/1857E907C20580B7F1CCEB7A60F6347D167F547E/455552.png,0.5,Food,NA,7.212513637312475e-5,293,0.04,100000000,11,0.4879,50000000,Tray of Chocolate Cherries,0.4479,0.374715,-282,0.762894139158179
Container,Basic,11,9351,https://render.guildwars2.com/file/EBC5CEC199D1E51B02756A1C796A65E9D24F04B5/63171.png,0,Default,NA,4.923217499871996e-7,2,0.4863,100000000,6,0.9997,50000000,Small Bag of Skritt Shinies,0.5134000000000001,0.36344499999999996,4,0.9181447461441492
Consumable,Masterwork,15,71826,https://render.guildwars2.com/file/71BB9DEFFB0E0F2D50C1B5BB0B3B5D9FA9059DDA/1201846.png,1,Food,NA,2.461608749935998e-7,1,0.0581,100000000,5,0.4946,50000000,Bowl of Passion Fruit Tapioca Pudding,0.4365,0.36230999999999997,4,0.8174391136937145
Consumable,Masterwork,31,12646,https://render.guildwars2.com/file/9A35E606AB0CF4C31972223357CD75CA104B6330/455558.png,0.3125,Food,NA,6.154021874839995e-5,250,0.0197,100000000,1,0.4493,50000000,Feast of Garlic Spinach Sautee,0.4296,0.362205,-249,0.7525377301255449
Consumable,Fine,17,75199,https://render.guildwars2.com/file/FF06606621FE5C02007228C8B1A26B785301927F/1201965.png,0.375,Utility,NA,7.384826249807994e-7,3,0.3408,100000000,1,0.816,50000000,Thesis on Studied Accuracy,0.47519999999999996,0.3527999999999999,-2,0.907251732587113
CraftingMaterial,Basic,8,74335,https://render.guildwars2.com/file/C3A5AA4619233641432E434218F67E404A23B609/1202002.png,0,NA,NA,2.4616087499359982e-6,10,2,100000000,5,2.7595,50000000,Oiled Orichalcum Shield Backing,0.7595000000000001,0.3455750000000002,-5,2.090476145339127
Trophy,Rare,0,70759,https://render.guildwars2.com/file/02C8490298FE3913CDF15B30126275DBC8FD94F9/66919.png,0,NA,NA,9.846434999743992e-7,4,0.523,100000000,2,1.011,50000000,Giant Mushroom Spore,0.4879999999999999,0.3363499999999998,-2,2.0357754716988117
Bag,Fine,22,9448,https://render.guildwars2.com/file/F9AB2DC763770E5FD8B70B7E92D8EDEC58540872/63215.png,0,NA,NA,2.707769624929598e-6,11,0.8718,100000000,1,1.4099,50000000,15 Slot Invisible Pack,0.5380999999999999,0.326615,-10,1.258494104304285
Consumable,Masterwork,31,12599,https://render.guildwars2.com/file/66AF6A325EE9DDBD6621A06A1ADEF1E17295F207/455556.png,0.3125,Food,NA,6.400182749833595e-6,26,0.0139,100000000,7,0.3981,50000000,Feast of Pepper Steak Dinners,0.3842,0.32448499999999997,-19,0.7517676025064974
