name,type,rarity,vendor_value,id,icon,level,item_type,item_weight_class
Sealed Package of Snowballs,Consumable,Basic,0,24,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,0,Generic,NA
Mighty Country Coat,Armor,Basic,6,68,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,0,Coat,Light
Mighty Country Coat,Armor,Basic,7,69,https://render.guildwars2.com/file/F03808FFE89B40044671EED2E427053B389BE0A1/61007.png,0,Coat,Light
Mighty Studded Coat,Armor,Basic,6,70,https://render.guildwars2.com/file/5050F9A0AAA5324F0501B7944876F0FA29DCEB97/61008.png,0,Coat,Medium
Mighty Worn Chain Greaves,Armor,Fine,11,71,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,6,Boots,Heavy
Berserker's Sneakthief Mask of the Afflicted,Armor,Exotic,265,72,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,62,Helm,Medium
Berserker's Sneakthief Mask of Dwayna,Armor,Exotic,295,73,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,70,Helm,Medium
Mighty Worn Chain Greaves,Armor,Fine,16,74,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png,11,Boots,Heavy
Berserker's Sneakthief Mask of Strength,Armor,Exotic,320,75,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,78,Helm,Medium
Berserker's Seer Coat of the Flame Legion,Armor,Exotic,318,76,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,62,Coat,Light
Mighty Studded Coat,Armor,Basic,7,77,https://render.guildwars2.com/file/5050F9A0AAA5324F0501B7944876F0FA29DCEB97/61008.png,0,Coat,Medium
Strong Worn Scale Boots,Armor,Fine,42,78,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,46,Boots,Heavy
Berserker's Seer Coat of the Traveler,Armor,Exotic,354,79,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,70,Coat,Light
Nika's Mask,Armor,Exotic,330,80,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png,80,Helm,Medium
Mighty Studded Boots,Armor,Basic,4,81,https://render.guildwars2.com/file/C05DCA62E84D18EF46D5357C217956C55BC3063E/61013.png,0,Boots,Medium
Berserker's Seer Coat of the Afflicted,Armor,Exotic,384,82,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,78,Coat,Light
