name,description,type,rarity,vendor_value,id,icon,listings,unit_price,quantity
Strong Worn Scale Boots,,Armor,Fine,49,87,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,1,87,95
Strong Worn Scale Boots,,Armor,Fine,49,87,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,1,84,25
Strong Worn Scale Boots,,Armor,Fine,49,87,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png,2,75,11
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1907,1
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1906,12
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1905,20
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1903,10
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1900,66
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1895,27
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1873,7
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1869,24
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1868,11
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1863,3
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1858,1
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1856,3
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1855,6
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1854,2
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1800,2
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1691,3
Carrion Seer Coat of the Centaur,,Armor,Exotic,354,88,https://render.guildwars2.com/file/FB0AA64F98303AE5112408EF3DC8C7307EA118F8/61011.png,1,1669,3
