name,description,type,rarity,vendor_value,id,icon,listings,unit_price,quantity
Sealed Package of Snowballs,Open this package to create several snowballs that can hit anyone else holding a snowball.,Consumable,Basic,0,24,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,1,169,17
Sealed Package of Snowballs,Open this package to create several snowballs that can hit anyone else holding a snowball.,Consumable,Basic,0,24,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,3,185,87
Sealed Package of Snowballs,Open this package to create several snowballs that can hit anyone else holding a snowball.,Consumable,Basic,0,24,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,5,186,25
Sealed Package of Snowballs,Open this package to create several snowballs that can hit anyone else holding a snowball.,Consumable,Basic,0,24,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,1,187,12
Sealed Package of Snowballs,Open this package to create several snowballs that can hit anyone else holding a snowball.,Consumable,Basic,0,24,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,2,188,4
Sealed Package of Snowballs,Open this package to create several snowballs that can hit anyone else holding a snowball.,Consumable,Basic,0,24,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,1,189,19
Sealed Package of Snowballs,Open this package to create several snowballs that can hit anyone else holding a snowball.,Consumable,Basic,0,24,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,3,190,7
Sealed Package of Snowballs,Open this package to create several snowballs that can hit anyone else holding a snowball.,Consumable,Basic,0,24,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,3,191,18
Sealed Package of Snowballs,Open this package to create several snowballs that can hit anyone else holding a snowball.,Consumable,Basic,0,24,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,2,233,5
Sealed Package of Snowballs,Open this package to create several snowballs that can hit anyone else holding a snowball.,Consumable,Basic,0,24,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,2,234,3
Sealed Package of Snowballs,Open this package to create several snowballs that can hit anyone else holding a snowball.,Consumable,Basic,0,24,https://render.guildwars2.com/file/1D05D1EE04E16E69710E1EAB11AC466BBF105778/219347.png,4,277,39
